Datetime,Pressure,Velocity,Motion,Dive
645,1.97,0.05,BOTT,13
646,1.87,-0.1,BOTT,13
647,1.92,0.05,BOTT,13
648,1.95,0.03,BOTT,13
649,1.95,0,BOTT,13
650,2.02,0.07,BOTT,13
651,1.95,-0.07,BOTT,13
652,1.95,0,BOTT,13
653,2.02,0.07,BOTT,13
654,1.95,-0.07,BOTT,13
655,1.87,-0.08,BOTT,13
656,1.97,0.1,BOTT,13
657,1.97,0,BOTT,13
658,1.97,0,BOTT,13
659,1.82,-0.15,BOTT,13
660,1.92,0.1,BOTT,13
661,1.95,0.03,BOTT,13
662,2.02,0.07,BOTT,13
663,1.92,-0.1,BOTT,13
664,1.97,0.05,BOTT,13
665,1.95,-0.02,BOTT,13
666,1.97,0.02,BOTT,13
667,1.97,0,BOTT,13
668,1.95,-0.02,BOTT,13
669,1.92,-0.03,BOTT,13
670,1.97,0.05,BOTT,13
671,1.67,-0.3,ASC,13
679,-0.2,-0.23375,SURF,14
689,0.47,0.067,DESC,14
690,1.45,0.98,DESC,14
691,1.92,0.47,BOTT,14
692,1.92,0,BOTT,14
693,1.95,0.03,BOTT,14
694,2.02,0.07,BOTT,14
695,1.95,-0.07,BOTT,14
696,1.92,-0.03,BOTT,14
697,1.97,0.05,BOTT,14
698,1.92,-0.05,BOTT,14
699,1.92,0,BOTT,14
700,1.92,0,BOTT,14
701,2.02,0.1,BOTT,14
702,1.97,-0.05,BOTT,14
703,1.95,-0.02,BOTT,14
704,1.97,0.02,BOTT,14
705,1.92,-0.05,BOTT,14
706,1.92,0,BOTT,14
707,1.92,0,BOTT,14
708,2.02,0.1,BOTT,14
709,1.92,-0.1,BOTT,14
710,1.97,0.05,BOTT,14
711,1.87,-0.1,BOTT,14
712,2.02,0.15,BOTT,14
713,1.97,-0.05,BOTT,14
714,1.92,-0.05,BOTT,14
715,1.97,0.05,BOTT,14
716,1.97,0,BOTT,14
717,1.92,-0.05,BOTT,14
718,1.92,0,BOTT,14
719,1.92,0,BOTT,14
720,2.02,0.1,BOTT,14
721,1.92,-0.1,BOTT,14
722,2.02,0.1,BOTT,14
723,0.85,-1.17,ASC,14
729,-0.18,-0.171666667,SURF,15
739,1.65,0.183,DESC,15
740,1.92,0.27,BOTT,15
741,2.02,0.1,BOTT,15
742,1.87,-0.15,BOTT,15
743,1.97,0.1,BOTT,15
744,1.97,0,BOTT,15
745,1.95,-0.02,BOTT,15
746,1.85,-0.1,BOTT,15
747,1.87,0.02,BOTT,15
748,1.92,0.05,BOTT,15
749,1.95,0.03,BOTT,15
750,1.95,0,BOTT,15
751,1.97,0.02,BOTT,15
752,1.95,-0.02,BOTT,15
753,1.95,0,BOTT,15
754,1.92,-0.03,BOTT,15
755,2.02,0.1,BOTT,15
756,1.97,-0.05,BOTT,15
757,1.92,-0.05,BOTT,15
758,1.92,0,BOTT,15
759,1.95,0.03,BOTT,15
760,1.95,0,BOTT,15
761,1.95,0,BOTT,15
762,1.97,0.02,BOTT,15
763,1.95,-0.02,BOTT,15
764,1.92,-0.03,BOTT,15
765,1.95,0.03,BOTT,15
766,1.92,-0.03,BOTT,15
767,1.85,-0.07,BOTT,15
768,1.97,0.12,BOTT,15
769,1.92,-0.05,BOTT,15
770,1.92,0,BOTT,15
771,1.95,0.03,BOTT,15
772,1.92,-0.03,BOTT,15
773,1.97,0.05,BOTT,15
774,1.92,-0.05,BOTT,15
775,2.02,0.1,BOTT,15
776,0.8,-1.22,ASC,15
779,-0.15,-0.316666667,SURF,16
789,-0.15,0,SURF,16
794,1.27,0.284,DESC,16
795,1.95,0.68,BOTT,16
796,1.92,-0.03,BOTT,16
797,1.92,0,BOTT,16
798,1.92,0,BOTT,16
799,2.02,0.1,BOTT,16
800,1.92,-0.1,BOTT,16
801,2.02,0.1,BOTT,16
802,1.95,-0.07,BOTT,16
803,1.95,0,BOTT,16
804,2.02,0.07,BOTT,16
805,2.02,0,BOTT,16
806,1.97,-0.05,BOTT,16
807,2.02,0.05,BOTT,16
808,1.95,-0.07,BOTT,16
809,1.97,0.02,BOTT,16
810,1.87,-0.1,BOTT,16
811,2.05,0.18,BOTT,16
812,1.85,-0.2,BOTT,16
813,1.97,0.12,BOTT,16
814,1.85,-0.12,BOTT,16
815,1.82,-0.03,BOTT,16
816,1.87,0.05,BOTT,16
817,1.92,0.05,BOTT,16
818,1.87,-0.05,BOTT,16
819,2.02,0.15,BOTT,16
820,2.02,0,BOTT,16
821,2.02,0,BOTT,16
822,2.02,0,BOTT,16
823,1.87,-0.15,BOTT,16
824,1.95,0.08,BOTT,16
825,1.95,0,BOTT,16
826,1.97,0.02,BOTT,16
827,2.05,0.08,BOTT,16
828,1.97,-0.08,BOTT,16
829,1.95,-0.02,BOTT,16
830,1.92,-0.03,BOTT,16
831,1.85,-0.07,BOTT,16
832,1.1,-0.75,ASC,16
839,-0.1,-0.171428571,SURF,17
848,1.02,0.124444444,DESC,17
849,1.85,0.83,BOTT,17
850,1.92,0.07,BOTT,17
851,2.02,0.1,BOTT,17
852,1.95,-0.07,BOTT,17
853,2.02,0.07,BOTT,17
854,1.95,-0.07,BOTT,17
855,1.95,0,BOTT,17
856,1.97,0.02,BOTT,17
857,2.02,0.05,BOTT,17
858,1.97,-0.05,BOTT,17
859,1.95,-0.02,BOTT,17
860,2.02,0.07,BOTT,17
861,1.92,-0.1,BOTT,17
862,1.92,0,BOTT,17
863,1.92,0,BOTT,17
864,1.97,0.05,BOTT,17
865,1.97,0,BOTT,17
866,1.95,-0.02,BOTT,17
867,1.97,0.02,BOTT,17
868,1.97,0,BOTT,17
869,1.87,-0.1,BOTT,17
870,1.95,0.08,BOTT,17
871,1.97,0.02,BOTT,17
872,1.97,0,BOTT,17
873,1.97,0,BOTT,17
874,2.02,0.05,BOTT,17
875,1.92,-0.1,BOTT,17
876,2.02,0.1,BOTT,17
877,1.92,-0.1,BOTT,17
878,1.97,0.05,BOTT,17
879,1.97,0,BOTT,17
880,1.87,-0.1,BOTT,17
881,1.85,-0.02,BOTT,17
882,0.95,-0.9,ASC,17
889,-0.2,-0.164285714,SURF,18
899,1.07,0.127,DESC,18
900,1.85,0.78,BOTT,18
901,1.95,0.1,BOTT,18
902,2.02,0.07,BOTT,18
903,1.95,-0.07,BOTT,18
904,1.97,0.02,BOTT,18
905,2.02,0.05,BOTT,18
906,1.92,-0.1,BOTT,18
907,2.02,0.1,BOTT,18
908,1.87,-0.15,BOTT,18
909,1.95,0.08,BOTT,18
910,1.92,-0.03,BOTT,18
911,1.87,-0.05,BOTT,18
912,1.92,0.05,BOTT,18
913,2.02,0.1,BOTT,18
914,1.97,-0.05,BOTT,18
915,2.02,0.05,BOTT,18
916,1.97,-0.05,BOTT,18
917,2.02,0.05,BOTT,18
918,1.82,-0.2,BOTT,18
919,2.02,0.2,BOTT,18
920,2.02,0,BOTT,18
921,2.05,0.03,BOTT,18
922,1.97,-0.08,BOTT,18
923,1.97,0,BOTT,18
924,1.97,0,BOTT,18
925,1.97,0,BOTT,18
926,1.97,0,BOTT,18
927,1.97,0,BOTT,18
928,2.15,0.18,BOTT,18
929,2.02,-0.13,BOTT,18
930,2.02,0,BOTT,18
931,2.02,0,BOTT,18
932,1.95,-0.07,BOTT,18
933,1.87,-0.08,BOTT,18
934,1.77,-0.1,BOTT,18
939,-0.15,-0.384,SURF,19
949,-0.1,0.005,SURF,19
959,-0.13,-0.003,SURF,19
967,0.67,0.1,DESC,19
968,1.5,0.83,DESC,19
969,1.92,0.42,BOTT,19
970,1.97,0.05,BOTT,19
971,1.97,0,BOTT,19
972,2.02,0.05,BOTT,19
973,2.02,0,BOTT,19
974,2.02,0,BOTT,19
975,1.97,-0.05,BOTT,19
976,2.02,0.05,BOTT,19
977,2.02,0,BOTT,19
978,2.02,0,BOTT,19
979,2.02,0,BOTT,19
980,1.92,-0.1,BOTT,19
981,1.95,0.03,BOTT,19
982,1.97,0.02,BOTT,19
983,1.97,0,BOTT,19
984,2.05,0.08,BOTT,19
985,2.02,-0.03,BOTT,19
986,2.02,0,BOTT,19
987,2.02,0,BOTT,19
988,2.05,0.03,BOTT,19
989,2.02,-0.03,BOTT,19
990,1.95,-0.07,BOTT,19
991,1.97,0.02,BOTT,19
992,1.97,0,BOTT,19
993,1.97,0,BOTT,19
994,1.97,0,BOTT,19
995,2.07,0.1,BOTT,19
996,2.02,-0.05,BOTT,19
997,1.92,-0.1,BOTT,19
998,1.92,0,BOTT,19
999,1.95,0.03,BOTT,19
1000,2.02,0.07,BOTT,19
1001,1.95,-0.07,BOTT,19
1002,1.4,-0.55,ASC,19
1009,-0.15,-0.221428571,SURF,20
1019,-0.18,-0.003,SURF,20
1024,1.4,0.316,DESC,20
1025,1.92,0.52,BOTT,20
1026,1.92,0,BOTT,20
1027,2.02,0.1,BOTT,20
1028,1.92,-0.1,BOTT,20
1029,1.87,-0.05,BOTT,20
1030,2.02,0.15,BOTT,20
1031,1.92,-0.1,BOTT,20
1032,1.97,0.05,BOTT,20
1033,2.07,0.1,BOTT,20
1034,1.95,-0.12,BOTT,20
1035,2.02,0.07,BOTT,20
1036,1.92,-0.1,BOTT,20
1037,1.92,0,BOTT,20
1038,1.95,0.03,BOTT,20
1039,2.02,0.07,BOTT,20
1040,1.97,-0.05,BOTT,20
1041,1.95,-0.02,BOTT,20
1042,1.92,-0.03,BOTT,20
1043,1.95,0.03,BOTT,20
1044,2.02,0.07,BOTT,20
1045,1.97,-0.05,BOTT,20
1046,1.95,-0.02,BOTT,20
1047,1.97,0.02,BOTT,20
1048,1.95,-0.02,BOTT,20
1049,2.02,0.07,BOTT,20
